university_id,university_name,url
122,Rmit University,https://nominatim.openstreetmap.org/search.php?q=Rmit%20University%20Melbourne%20AU&format=geojson&addressdetails=1&limit=1
123,Sungkyunkwan University(Skku),https://nominatim.openstreetmap.org/search.php?q=Sungkyunkwan%20University%20Seoul%20KR&format=geojson&addressdetails=1&limit=1
124,University Of Southern California,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Southern%20California%20Los%20Angeles%20US&format=geojson&addressdetails=1&limit=1
125,Humboldt-Universität Zu Berlin,https://nominatim.openstreetmap.org/search.php?q=Humboldt-Universit%C3%A4t%20Zu%20Berlin%20Berlin%20DE&format=geojson&addressdetails=1&limit=1
126,University College Dublin,https://nominatim.openstreetmap.org/search.php?q=University%20College%20Dublin%20Dublin%20IE&format=geojson&addressdetails=1&limit=1
127,Stockholm University,https://nominatim.openstreetmap.org/search.php?q=Stockholm%20University%20Stockholm%20SE&format=geojson&addressdetails=1&limit=1
128,Newcastle University,https://nominatim.openstreetmap.org/search.php?q=Newcastle%20University%20Newcastle%20upon%20Tyne%20UK&format=geojson&addressdetails=1&limit=1
129,"University Of California, Davis",https://nominatim.openstreetmap.org/search.php?q=University%20Of%20California%2C%20Davis%20Davis%20US&format=geojson&addressdetails=1&limit=1
130,University Of Basel,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Basel%20Basel%20CH&format=geojson&addressdetails=1&limit=1
131,Sapienza University Of Rome,https://nominatim.openstreetmap.org/search.php?q=Sapienza%20University%20Of%20Rome%20Rome%20IT&format=geojson&addressdetails=1&limit=1
132,Alma Mater Studiorum - University Of Bologna,https://nominatim.openstreetmap.org/search.php?q=Alma%20Mater%20Studiorum%20-%20University%20Of%20Bologna%20Bologna%20IT&format=geojson&addressdetails=1&limit=1
133,Macquarie University,https://nominatim.openstreetmap.org/search.php?q=Macquarie%20University%20Sydney%20AU&format=geojson&addressdetails=1&limit=1
134,Nanjing University,https://nominatim.openstreetmap.org/search.php?q=Nanjing%20University%20Nanjing%20CN&format=geojson&addressdetails=1&limit=1
135,Eindhoven University Of Technology,https://nominatim.openstreetmap.org/search.php?q=Eindhoven%20University%20Of%20Technology%20Eindhoven%20NL&format=geojson&addressdetails=1&limit=1
136,University Of Vienna,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Vienna%20Vienna%20AT&format=geojson&addressdetails=1&limit=1
137,Universiti Kebangsaan Malaysia (Ukm),https://nominatim.openstreetmap.org/search.php?q=Universiti%20Kebangsaan%20Malaysia%20%20Taichung%20MY&format=geojson&addressdetails=1&limit=1
138,Chalmers University Of Technology,https://nominatim.openstreetmap.org/search.php?q=Chalmers%20University%20Of%20Technology%20Gothenburg%20SE&format=geojson&addressdetails=1&limit=1
139,Universidad De Chile,https://nominatim.openstreetmap.org/search.php?q=Universidad%20De%20Chile%20Castro%20CL&format=geojson&addressdetails=1&limit=1
140,Lancaster University,https://nominatim.openstreetmap.org/search.php?q=Lancaster%20University%20Lancaster%20UK&format=geojson&addressdetails=1&limit=1
141,Leiden University,https://nominatim.openstreetmap.org/search.php?q=Leiden%20University%20Leiden%20NL&format=geojson&addressdetails=1&limit=1
142,Rice University,https://nominatim.openstreetmap.org/search.php?q=Rice%20University%20Houston%20US&format=geojson&addressdetails=1&limit=1
143,Aarhus University,https://nominatim.openstreetmap.org/search.php?q=Aarhus%20University%20Aarhus%20DK&format=geojson&addressdetails=1&limit=1
144,University Of Science And Technology Of China,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Science%20And%20Technology%20Of%20China%20Hefei%20CN&format=geojson&addressdetails=1&limit=1
145,Universiti Sains Malaysia (Usm),https://nominatim.openstreetmap.org/search.php?q=Universiti%20Sains%20Malaysia%20%20Bangi%20MY&format=geojson&addressdetails=1&limit=1
146,Technische Universität Berlin (Tu Berlin),https://nominatim.openstreetmap.org/search.php?q=Technische%20Universit%C3%A4t%20Berlin%20%20Berlin%20DE&format=geojson&addressdetails=1&limit=1
147,Universiti Putra Malaysia (Upm),https://nominatim.openstreetmap.org/search.php?q=Universiti%20Putra%20Malaysia%20%20Serdang%20MY&format=geojson&addressdetails=1&limit=1
148,King Abdulaziz University (Kau),https://nominatim.openstreetmap.org/search.php?q=King%20Abdulaziz%20University%20%20Jeddah%20SA&format=geojson&addressdetails=1&limit=1
149,Indian Institute Of Technology Delhi (Iitd),https://nominatim.openstreetmap.org/search.php?q=Indian%20Institute%20Of%20Technology%20Delhi%20%20Delhi%20IN&format=geojson&addressdetails=1&limit=1
150,University Of Bath,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Bath%20Bath%20UK&format=geojson&addressdetails=1&limit=1
151,Michigan State University,https://nominatim.openstreetmap.org/search.php?q=Michigan%20State%20University%20Lansing%20US&format=geojson&addressdetails=1&limit=1
